Term,Career,ClassNbr,Subject,CatalogNbr,Section,Title,Topic,MinHrs,MaxHrs,MaxEnr,Enr,InstructorName,GradeBasis,ClassStatus
5099,UCOL,3044,CS, 170,000,Intro to Computer Science I,,4,4,32,29,"Agichtein,Yevgeny Eugene",OPT,Active
5099,UCOL,3044,CS, 170,000,Intro to Computer Science I,,4,4,32,29,"Agichtein,Yevgeny Eugene",OPT,Active
5109,UCOL,4266,CS, 170,000,Intro to Computer Science I,,4,4,31,28,"Agichtein,Yevgeny Eugene",OPT,Active
5109,UCOL,4266,CS, 170,000,Intro to Computer Science I,,4,4,31,28,"Agichtein,Yevgeny Eugene",OPT,Active
5089,UCOL,3337,CS, 171,000,Intro to Computer Science II,,4,4,25,7,"Agichtein,Yevgeny Eugene",OPT,Active
5119,UCOL,2674,CS, 171,000,Intro to Computer Science II,,4,4,25,26,"Agichtein,Yevgeny Eugene",OPT,Active
5091,UCOL,2010,CS, 190,000,Fresh Seminar:Computer Science,The Web,4,4,18,11,"Agichtein,Yevgeny Eugene",OPT,Active
5101,UCOL,3185,CS, 190,000,Fresh Seminar:Computer Science,TheWeb:Concepts & Technologies,4,4,16,16,"Agichtein,Yevgeny Eugene",OPT,Active
5131,UCOL,2539,CS, 190,000,Fresh Seminar:Computer Science,,4,4,16,15,"Agichtein,Yevgeny Eugene",OPT,Active
5141,UCOL,4256,CS, 325,000,Artificial Intelligence,,3,3,40,38,"Agichtein,Yevgeny Eugene",OPT,Active
5161,UCOL,2885,CS, 325,000,Artificial Intelligence,,3,3,55,39,"Agichtein,Yevgeny Eugene",OPT,Active
5171,UCOL,1976,CS, 325,000,Artificial Intelligence,,3,3,35,25,"Agichtein,Yevgeny Eugene",OPT,Active
5179,UCOL,4528,CS, 325,1,Artificial Intelligence,,3,3,20,17,"Agichtein,Yevgeny Eugene",OPT,Active
5121,UCOL,3254,CS, 370,000,Computer Science Practicum,,4,4,18,20,"Agichtein,Yevgeny Eugene",OPT,Active
5131,UCOL,2553,CS, 370,000,Computer Science Practicum,,4,4,25,18,"Agichtein,Yevgeny Eugene",OPT,Active
5139,UCOL,6561,CS, 375R,01P,Independ. Software Development,Vision in Action Indep.Study,1,3,1,1,"Agichtein,Yevgeny Eugene",OPT,Active
